"Origen","Destino","Booking"
"Buenos Aires, Argentina","Quimili, Argentina",1
"Buenos Aires, Argentina","Rafaela, Argentina",24
"Buenos Aires, Argentina","Rauch, Argentina",4
"Buenos Aires, Argentina","Rawson, Argentina",2
"Buenos Aires, Argentina","Realico, Argentina",4
"Buenos Aires, Argentina","Reconquista, Argentina",4
"Buenos Aires, Argentina","Resistencia, Argentina",3161
"Buenos Aires, Argentina","Rio Colorado, Argentina",3
"Buenos Aires, Argentina","Rio Cuarto, Argentina",737
"Buenos Aires, Argentina","Rio Gallegos, Argentina",2000
"Buenos Aires, Argentina","Rio Grande, Argentina",966
"Buenos Aires, Argentina","Rojas, Argentina",4
"Buenos Aires, Argentina","Rosario, Argentina",1320
"Buenos Aires, Argentina","Rufino, Argentina",8
"Buenos Aires, Argentina","Salta, Argentina",18534
"Buenos Aires, Argentina","Salto, Argentina",4
"Buenos Aires, Argentina","San Andres De Giles, Argentina",3
"Buenos Aires, Argentina","San Antonio De Areco, Argentina",6
"Buenos Aires, Argentina","San Antonio Oeste, Argentina",5
"Buenos Aires, Argentina","San Bernardo, Argentina",185
"Buenos Aires, Argentina","San Carlos De Bariloche, Argentina",26047
"Buenos Aires, Argentina","San Clemente Del Tuyu, Argentina",128
"Buenos Aires, Argentina","San Cosme, Argentina",1
"Buenos Aires, Argentina","San Francisco, Argentina",9
"Buenos Aires, Argentina","San Juan, Argentina",3399
"Buenos Aires, Argentina","San Luis, Argentina",1549
"Buenos Aires, Argentina","San Martin De Los Andes, Argentina",2551
"Buenos Aires, Argentina","San Martin, Argentina",14
"Buenos Aires, Argentina","San Miguel De Tucuman, Argentina",6563
"Buenos Aires, Argentina","San Miguel Del Monte, Argentina",6
"Buenos Aires, Argentina","San Nicolas, Argentina",20
"Buenos Aires, Argentina","San Pedro, Argentina",1
"Buenos Aires, Argentina","San Rafael, Argentina",1457
"Buenos Aires, Argentina","San Salvador De Jujuy, Argentina",3393
"Buenos Aires, Argentina","San Vicente, Argentina",2
"Buenos Aires, Argentina","Santa Clara Del Mar, Argentina",27
"Buenos Aires, Argentina","Santa Fe, Argentina",469
"Buenos Aires, Argentina","Santa Lucia, Argentina",3
"Buenos Aires, Argentina","Santa Rosa De Calamuchita, Argentina",10
"Buenos Aires, Argentina","Santa Rosa, Argentina",419
"Buenos Aires, Argentina","Santa Teresita, Argentina",141
"Buenos Aires, Argentina","Santiago Del Estero, Argentina",1617
"Buenos Aires, Argentina","Santo Tome, Argentina",1
"Buenos Aires, Argentina","Sierra De La Ventana, Argentina",19
"Buenos Aires, Argentina","Sierra Grande, Argentina",3
"Buenos Aires, Argentina","Simoca, Argentina",7
"Buenos Aires, Argentina","Tandil, Argentina",257
"Buenos Aires, Argentina","Termas De Rio Hondo, Argentina",3011
"Buenos Aires, Argentina","Trelew, Argentina",2072
"Buenos Aires, Argentina","Trenque Lauquen, Argentina",2
"Buenos Aires, Argentina","Tres Arroyos, Argentina",68
"Buenos Aires, Argentina","Tres Isletas, Argentina",1
"Buenos Aires, Argentina","Union, Argentina",1
"Buenos Aires, Argentina","Ushuaia, Argentina",8604
"Buenos Aires, Argentina","Vedia, Argentina",2
"Buenos Aires, Argentina","Veinticinco De Mayo, Argentina",1
"Buenos Aires, Argentina","Venado Tuerto, Argentina",25
"Buenos Aires, Argentina","Vicuna Mackenna, Argentina",1
"Buenos Aires, Argentina","Viedma, Argentina",309
"Buenos Aires, Argentina","Villa Angela, Argentina",3
"Buenos Aires, Argentina","Villa Canas, Argentina",1
"Buenos Aires, Argentina","Villa Carlos Paz, Argentina",108
"Buenos Aires, Argentina","Villa Cura Brochero, Argentina",5
"Buenos Aires, Argentina","Villa Dolores, Argentina",21
"Buenos Aires, Argentina","Villa General Belgrano, Argentina",27
"Buenos Aires, Argentina","Villa Gesell, Argentina",465
"Buenos Aires, Argentina","Villa Giardino, Argentina",8
"Buenos Aires, Argentina","Villa Las Rosas, Argentina",10
"Buenos Aires, Argentina","Villa Maria, Argentina",28
"Buenos Aires, Argentina","Villa Mercedes, Argentina",35
"Buenos Aires, Argentina","Villa Regina, Argentina",6
"Buenos Aires, Argentina","Zapala, Argentina",14
