PERIODO;ORIGENFECHA;ORIGENESTACIONID;ORIGENNOMBRE;DESTINOFECHA;DESTINOESTACIONID;DESTINONOMBRE;TIEMPOUSO
2010;29/12/2010 17:18;5;ADUANA;29/12/2010 17:37;3;RETIRO;19
2010;29/12/2010 17:16;7;PLAZA ROMA;29/12/2010 17:49;7;PLAZA ROMA;33
2010;29/12/2010 17:13;3;RETIRO;29/12/2010 17:24;6;DERECHO;11
2010;29/12/2010 17:11;7;PLAZA ROMA;29/12/2010 17:20;3;RETIRO;9
2010;29/12/2010 17:06;5;ADUANA;29/12/2010 17:12;7;PLAZA ROMA;6
2010;29/12/2010 17:06;7;PLAZA ROMA;29/12/2010 17:11;3;RETIRO;5
2010;29/12/2010 17:04;7;PLAZA ROMA;29/12/2010 17:12;3;RETIRO;8
2010;29/12/2010 17:01;5;ADUANA;29/12/2010 17:14;3;RETIRO;13
2010;29/12/2010 16:54;6;DERECHO;29/12/2010 17:57;6;DERECHO;62
2010;29/12/2010 16:54;7;PLAZA ROMA;29/12/2010 17:26;3;RETIRO;32
2010;29/12/2010 16:53;7;PLAZA ROMA;29/12/2010 17:23;6;DERECHO;30
2010;29/12/2010 16:41;3;RETIRO;29/12/2010 18:10;5;ADUANA;89
2010;29/12/2010 16:40;5;ADUANA;29/12/2010 18:16;5;ADUANA;96
2010;29/12/2010 16:40;7;PLAZA ROMA;29/12/2010 16:50;3;RETIRO;10
2010;29/12/2010 16:30;5;ADUANA;29/12/2010 18:14;5;ADUANA;103
2010;29/12/2010 16:29;5;ADUANA;29/12/2010 18:13;5;ADUANA;104
2010;29/12/2010 16:28;6;DERECHO;29/12/2010 17:15;6;DERECHO;47
2010;29/12/2010 16:23;6;DERECHO;29/12/2010 18:07;6;DERECHO;104
2010;29/12/2010 16:20;7;PLAZA ROMA;29/12/2010 16:48;7;PLAZA ROMA;28
2010;29/12/2010 16:20;6;DERECHO;29/12/2010 17:51;5;ADUANA;91
2010;29/12/2010 15:56;5;ADUANA;29/12/2010 16:22;6;DERECHO;25
2010;29/12/2010 15:53;7;PLAZA ROMA;29/12/2010 16:44;7;PLAZA ROMA;51
2010;29/12/2010 15:52;7;PLAZA ROMA;29/12/2010 15:53;7;PLAZA ROMA;1
2010;29/12/2010 15:49;7;PLAZA ROMA;29/12/2010 16:06;6;DERECHO;16
2010;29/12/2010 15:45;5;ADUANA;29/12/2010 15:54;7;PLAZA ROMA;9
2010;29/12/2010 15:24;7;PLAZA ROMA;29/12/2010 16:28;7;PLAZA ROMA;64
2010;29/12/2010 15:19;6;DERECHO;29/12/2010 16:41;6;DERECHO;82
