ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1155;MONUMENTO          ;1;PIEDRA Y MARMOL           ;GRL. JUAN  LAVALLE                     ;COSTA, PEDRO               ;PLAZA LAVALLE                    ;PLAZA LAVALLE                    ;CORRIENTES AV. 1145                                                   ;CORRIENTES AV.                                 ;1145;SAN NICOLAS;COMUNA 1;1043;C1043AAL;-34.603694227045764;-58.38292044962602
1156;ESTATUA            ;1;MARMOL                    ;PUGIL DAMOSENO                         ;REPRODUCCION               ;PASEO REPUBLICA DE FILIPINAS     ;PASEO REPUBLICA DE FILIPINAS     ;                                                                      ;                                               ;;;;;;;
1157;ESTATUA            ;1;MARMOL                    ;GLADIADOR BORGHESE                     ;REPRODUCCION               ;PASEO REPUBLICA DE FILIPINAS     ;PASEO REPUBLICA DE FILIPINAS     ;                                                                      ;                                               ;;PALERMO;;;;;
1158;ESTATUA            ;1;PIEDRA                    ;VENUS                                  ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;SAN NICOLAS;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1159;ESTATUA            ;1;PIEDRA                    ;PLINIO                                 ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;BOCA;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1160;ESTATUA            ;1;MARMOL                    ;AMAZONA                                ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;BOCA;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1161;ESTATUA            ;1;MARMOL                    ;VENUS DE COLCA                         ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;BARRACAS;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1162;ESTATUA            ;1;MARMOL                    ;CANTO DE LA COSECHADORA                ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1163;ESTATUA            ;1;MARMOL                    ;NI?A CON FLORES                     ;REPRODUCCION               ;JARDIN ZOOLOGICO                 ;JARDIN ZOOLOGICO                 ;SARMIENTO 2601                                                        ;SARMIENTO                                      ;2601;;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
1164;ESTATUA            ;1;MAMPOSTERIA               ;VENUS DE MILO                          ;REPRODUCCION               ;JARDIN ZOOLOGICO                 ;JARDIN ZOOLOGICO                 ;SARMIENTO 2601                                                        ;SARMIENTO                                      ;2601;;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
1165;ESTATUA            ;1;MARMOL                    ;BA?ISTA                             ;REPRODUCCION               ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;SAN NICOLAS;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
